ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1022	"ENSMUSG00000025159"	"Mms19"	chr19	-	41949454	41949837	41949454	41949581	41949768	41949837	1022	1,1,1,2,3,3	3,4,3,0,2,2	0,2,1,1,1,3	1,1,2,2,0,4	283	96	0.315296093418	1.0	0.102,0.078,0.102,1.0,0.337,0.337	0.0,0.404,0.145,0.145,1.0,0.203	0.01
1023	"ENSMUSG00000042286"	"Stab1"	chr14	-	31139506	31140267	31139506	31139653	31139743	31140267	1023	0,0,1,0,0,0	2,8,4,5,2,2	1,0,0,0,0,0	0,5,3,6,2,0	186	96	1	1.0	0.0,0.0,0.114,0.0,0.0,0.0	1.0,0.0,0.0,0.0,0.0,NA	-0.181
1025	"ENSMUSG00000042286"	"Stab1"	chr14	-	31139925	31140267	31139925	31140075	31140147	31140267	1025	0,0,1,3,1,0	8,4,1,0,1,4	2,0,0,1,1,0	2,3,4,5,4,4	168	96	0.361969370639	1.0	0.0,0.0,0.364,1.0,0.364,0.0	0.364,0.0,0.0,0.103,0.125,0.0	0.189
1026	"ENSMUSG00000042286"	"Stab1"	chr14	-	31140355	31140720	31140355	31140465	31140554	31140720	1026	0,0,1,0,0,0	0,6,0,7,1,2	0,1,0,0,0,0	5,2,1,2,0,0	185	96	1	1.0	NA,0.0,1.0,0.0,0.0,0.0	0.0,0.206,0.0,0.0,NA,NA	0.149
1027	"ENSMUSG00000042286"	"Stab1"	chr14	-	31142957	31143267	31142957	31143014	31143117	31143267	1027	0,2,0,0,0,0	0,3,1,0,2,2	0,0,0,0,0,0	1,0,1,0,0,3	199	96	1	1.0	NA,0.243,0.0,NA,0.0,0.0	0.0,NA,0.0,NA,NA,0.0	0.061
1029	"ENSMUSG00000047617"	"Paxx"	chr2	-	25459484	25459859	25459484	25459701	25459774	25459859	1029	0,2,0,0,2,0	2,7,2,6,0,3	1,1,0,1,3,1	1,7,0,4,4,10	169	96	1	1.0	0.0,0.14,0.0,0.0,1.0,0.0	0.362,0.075,NA,0.124,0.299,0.054	0.007
1030	"ENSMUSG00000047617"	"Paxx"	chr2	-	25459774	25460357	25459774	25459859	25460008	25460357	1030	1,3,1,1,1,1	0,3,0,0,0,3	2,2,1,0,2,1	0,3,3,2,2,1	245	96	0.048932910946	0.759936189277	1.0,0.282,1.0,1.0,1.0,0.116	1.0,0.207,0.116,0.0,0.282,0.282	0.418
1031	"ENSMUSG00000047617"	"Paxx"	chr2	-	25460008	25460357	25460008	25460074	25460166	25460357	1031	2,3,0,0,2,4	4,1,1,0,1,3	3,1,0,2,2,4	0,0,1,2,2,1	188	96	1	1.0	0.203,0.605,0.0,NA,0.505,0.405	1.0,1.0,0.0,0.338,0.338,0.671	-0.214
1032	"ENSMUSG00000047617"	"Paxx"	chr2	-	25460444	25460715	25460444	25460494	25460654	25460715	1032	5,4,2,0,0,6	3,6,2,2,1,5	0,1,1,0,1,5	4,1,2,4,3,1	256	96	0.0286799953376	0.556780059862	0.385,0.2,0.273,0.0,0.0,0.31	0.0,0.273,0.158,0.0,0.111,0.652	-0.004
1033	"ENSMUSG00000037003"	"Tns2"	chr15	+	102115560	102115766	102115560	102115629	102115736	102115766	1033	2,5,1,0,2,1	14,25,13,14,8,16	0,1,3,1,0,1	7,9,8,15,10,12	203	96	1	1.0	0.063,0.086,0.035,0.0,0.106,0.029	0.0,0.05,0.151,0.031,0.0,0.038	0.008
1034	"ENSMUSG00000018559"	"Ctdnep1"	chr11	+	69984253	69984534	69984253	69984320	69984415	69984534	1034	0,0,0,0,0,0	18,16,9,11,8,17	0,0,0,0,0,1	14,18,16,22,11,7	191	96	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.067	-0.011
1036	"ENSMUSG00000017221"	"Psmd3"	chr11	+	98690462	98691019	98690462	98690653	98690915	98691019	1036	0,8,4,1,2,8	36,56,22,24,35,43	2,3,5,8,3,6	31,35,27,82,30,46	358	96	0.8794505563	1.0	0.0,0.037,0.046,0.011,0.015,0.048	0.017,0.022,0.047,0.025,0.026,0.034	-0.002
1037	"ENSMUSG00000001962"	"Fam50a"	chrX	+	74314863	74315572	74314863	74314963	74315426	74315572	1037	0,2,1,0,0,2	9,8,5,5,1,7	1,2,1,1,1,0	4,11,7,9,4,10	559	96	1	1.0	0.0,0.041,0.033,0.0,0.0,0.047	0.041,0.03,0.024,0.019,0.041,0.0	-0.006
1038	"ENSMUSG00000001962"	"Fam50a"	chrX	+	74318814	74319098	74318814	74318869	74319049	74319098	1038	2,4,0,1,5,1	13,15,6,16,7,8	2,2,4,5,2,4	6,9,10,14,16,22	276	96	0.424828067745	1.0	0.051,0.085,0.0,0.021,0.199,0.042	0.104,0.072,0.122,0.11,0.042,0.059	-0.018
1039	"ENSMUSG00000002274"	"Metrn"	chr17	-	25794866	25795433	25794866	25795291	25795373	25795433	1039	0,0,0,0,1,0	0,6,0,6,7,1	0,0,0,0,0,0	0,2,3,3,4,4	178	96	1	1.0	NA,0.0,NA,0.0,0.072,0.0	NA,0.0,0.0,0.0,0.0,0.0	0.018
1041	"ENSMUSG00000039456"	"Morc3"	chr16	+	93862413	93862715	93862413	93862503	93862640	93862715	1041	2,2,1,0,1,3	1,0,1,0,0,0	0,2,1,1,4,0	0,0,0,0,0,0	233	96	1	1.0	0.452,1.0,0.292,NA,1.0,1.0	NA,1.0,1.0,1.0,1.0,NA	-0.251
1042	"ENSMUSG00000039456"	"Morc3"	chr16	+	93862413	93862715	93862413	93862536	93862640	93862715	1042	2,0,0,0,0,1	0,1,5,1,1,2	0,1,1,0,2,0	2,5,1,3,5,0	200	96	1	1.0	1.0,0.0,0.0,0.0,0.0,0.194	0.0,0.088,0.324,0.0,0.161,NA	0.084
1044	"ENSMUSG00000004264"	"Phb2"	chr6	+	124713983	124714959	124713983	124714168	124714829	124714959	1044	4,11,4,8,2,4	22,32,8,23,16,21	3,6,5,2,13,13	24,25,33,48,25,37	757	96	0.623577620314	1.0	0.023,0.042,0.06,0.042,0.016,0.024	0.016,0.03,0.019,0.005,0.062,0.043	0.005
1045	"ENSMUSG00000004264"	"Phb2"	chr6	+	124715953	124716430	124715953	124716030	124716424	124716430	1045	4,1,0,4,3,0	0,0,0,5,0,0	2,4,0,5,2,6	0,0,0,0,0,0	490	96	1	1.0	1.0,1.0,NA,0.135,1.0,NA	1.0,1.0,NA,1.0,1.0,1.0	-0.216
1047	"ENSMUSG00000038975"	"Rabggtb"	chr3	-	153910260	153910888	153910260	153910366	153910690	153910888	1047	4,7,1,4,3,6	16,13,10,14,12,19	4,4,1,4,7,5	10,19,22,15,9,18	420	96	0.817603179051	1.0	0.054,0.11,0.022,0.061,0.054,0.067	0.084,0.046,0.01,0.057,0.151,0.06	-0.007
1048	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5466019	5466311	5466019	5466145	5466230	5466311	1048	0,1,1,0,0,1	1,0,1,0,0,1	0,1,0,0,0,0	0,0,0,0,0,0	181	96	1	1.0	0.0,1.0,0.347,NA,NA,0.347	NA,1.0,NA,NA,NA,NA	-0.577
1050	"ENSMUSG00000024910"	"Ctsw"	chr19	-	5466580	5467136	5466580	5466735	5467022	5467136	1050	1,3,0,1,2,1	0,2,0,0,1,0	0,1,1,0,0,1	0,0,0,0,0,0	383	96	1	1.0	1.0,0.273,NA,1.0,0.334,1.0	NA,1.0,1.0,NA,NA,1.0	-0.279
1051	"ENSMUSG00000004562"	"Arhgef40"	chr14	+	51987402	51989938	51987402	51987600	51988701	51989938	1051	0,0,0,0,0,1	0,0,0,2,1,0	1,0,1,1,0,3	0,0,0,1,0,0	1197	96	1	1.0	NA,NA,NA,0.0,0.0,1.0	1.0,NA,1.0,0.074,NA,1.0	-0.435
1055	"ENSMUSG00000031146"	"Plp2"	chrX	-	7669414	7669758	7669414	7669510	7669602	7669758	1055	0,2,1,0,0,0	10,14,11,10,7,7	0,0,0,0,0,0	6,9,10,12,6,15	188	96	1	1.0	0.0,0.068,0.044,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.019
1056	"ENSMUSG00000030689"	"Ino80e"	chr7	-	126857225	126857787	126857225	126857291	126857675	126857787	1056	4,2,2,6,1,1	0,0,0,0,0,0	3,2,0,1,1,5	0,0,0,0,0,2	480	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,0.333	0.133
1057	"ENSMUSG00000030689"	"Ino80e"	chr7	-	126857225	126857787	126857225	126857342	126857675	126857787	1057	1,0,2,1,0,1	2,11,1,5,6,2	2,1,0,0,0,2	2,6,2,6,2,10	429	96	1	1.0	0.101,0.0,0.309,0.043,0.0,0.101	0.183,0.036,0.0,0.0,0.0,0.043	0.049
1059	"ENSMUSG00000030890"	"Ilk"	chr7	+	105740770	105741043	105740770	105740867	105740959	105741043	1059	0,3,0,6,1,1	14,27,13,25,13,19	2,3,0,2,1,2	10,12,19,25,13,20	188	96	0.816141641125	1.0	0.0,0.054,0.0,0.109,0.038,0.026	0.093,0.113,0.0,0.039,0.038,0.049	-0.018
1060	"ENSMUSG00000030890"	"Ilk"	chr7	+	105741373	105741707	105741373	105741483	105741579	105741707	1060	4,6,2,1,3,6	16,31,12,14,10,22	4,9,2,2,11,7	15,22,15,16,15,28	192	96	0.164811877074	1.0	0.111,0.088,0.077,0.034,0.13,0.12	0.118,0.17,0.063,0.059,0.268,0.111	-0.038
1065	"ENSMUSG00000114797"	"Gm49336"	chr14	-	60240773	60242657	60240773	60240798	60242546	60242657	1065	4,1,0,1,3,1	2,4,0,0,0,5	1,0,1,0,2,1	0,11,0,8,0,5	1844	96	1	1.0	0.094,0.013,NA,1.0,1.0,0.01	1.0,0.0,1.0,0.0,1.0,0.01	-0.078
1066	"ENSMUSG00000028759"	"Hp1bp3"	chr4	+	138225888	138228787	138225888	138226048	138228643	138228787	1066	14,18,1,0,25,34	6,4,5,3,7,13	15,24,25,29,14,24	6,10,3,6,6,16	2691	96	0.407073614451	1.0	0.077,0.138,0.007,0.0,0.113,0.085	0.082,0.079,0.229,0.147,0.077,0.051	-0.041
1068	"ENSMUSG00000020708"	"Psmc5"	chr11	+	106262403	106262691	106262403	106262502	106262580	106262691	1068	0,2,1,0,4,1	24,33,24,29,15,29	3,2,0,3,4,1	20,38,13,43,23,46	174	96	0.167888636487	1.0	0.0,0.032,0.022,0.0,0.128,0.019	0.076,0.028,0.0,0.037,0.088,0.012	-0.007
1070	"ENSMUSG00000028542"	"Slc6a9"	chr4	+	117864404	117864888	117864404	117864642	117864753	117864888	1070	1,0,0,0,0,1	0,2,1,0,0,0	0,0,2,1,1,1	5,7,5,12,0,8	207	96	1	1.0	1.0,0.0,0.0,NA,NA,1.0	0.0,0.0,0.156,0.037,1.0,0.055	0.292
1073	"ENSMUSG00000035228"	"Ccdc106"	chr7	+	5059495	5060785	5059495	5059705	5060206	5060785	1073	1,1,0,0,0,0	0,1,0,1,0,0	0,1,2,0,0,0	0,0,1,0,0,0	597	96	1	1.0	1.0,0.139,NA,0.0,NA,NA	NA,1.0,0.243,NA,NA,NA	-0.242
1075	"ENSMUSG00000034771"	"Tle2"	chr10	+	81580256	81580667	81580256	81580331	81580483	81580667	1075	8,10,0,2,4,2	1,1,0,1,1,1	2,3,1,0,2,4	0,0,0,0,0,0	248	96	1	1.0	0.756,0.795,NA,0.436,0.608,0.436	1.0,1.0,1.0,NA,1.0,1.0	-0.394
1076	"ENSMUSG00000034771"	"Tle2"	chr10	+	81580256	81581755	81580256	81580667	81581644	81581755	1076	8,23,7,8,12,14	1,0,0,0,0,1	4,7,5,1,1,3	0,0,0,0,0,0	1073	96	1	1.0	0.417,1.0,1.0,1.0,1.0,0.556	1.0,1.0,1.0,1.0,1.0,1.0	-0.171
1077	"ENSMUSG00000034771"	"Tle2"	chr10	+	81582412	81582886	81582412	81582457	81582736	81582886	1077	1,4,0,0,0,2	13,18,0,3,5,7	0,0,0,0,1,1	0,1,0,0,1,0	375	96	1	1.0	0.019,0.054,NA,0.0,0.0,0.068	NA,0.0,NA,NA,0.204,1.0	-0.373
1078	"ENSMUSG00000034771"	"Tle2"	chr10	+	81587091	81587800	81587091	81587341	81587552	81587800	1078	4,7,0,3,4,2	7,15,0,1,3,4	0,0,1,4,0,0	0,0,1,2,0,1	307	96	1	1.0	0.152,0.127,NA,0.484,0.294,0.135	NA,NA,0.238,0.385,NA,0.0	0.031
1081	"ENSMUSG00000026791"	"Slc2a8"	chr2	-	32981360	32981883	32981360	32981567	32981720	32981883	1081	0,0,0,1,1,2	3,4,0,3,1,5	0,0,0,0,0,0	0,2,1,1,3,3	249	96	1	1.0	0.0,0.0,NA,0.114,0.278,0.134	NA,0.0,0.0,0.0,0.0,0.0	0.105
1082	"ENSMUSG00000028521"	"Slc35d1"	chr4	-	103213870	103214092	103213870	103213957	103214058	103214092	1082	0,0,0,0,0,0	0,2,7,2,0,1	0,0,0,1,0,0	3,0,4,5,3,10	197	96	1	1.0	NA,0.0,0.0,0.0,NA,0.0	0.0,NA,0.0,0.089,0.0,0.0	-0.018
1083	"ENSMUSG00000041375"	"Ccdc9"	chr7	-	16276726	16278538	16276726	16276773	16278356	16278538	1083	7,4,2,2,3,3	2,4,3,0,2,3	4,3,2,4,3,5	3,0,3,3,1,0	1679	96	0.657895255866	1.0	0.167,0.054,0.037,1.0,0.079,0.054	0.071,1.0,0.037,0.071,0.146,1.0	-0.156
1084	"ENSMUSG00000029175"	"Slc35f6"	chr5	+	30655494	30656100	30655494	30655666	30655887	30656100	1084	0,0,0,0,1,1	1,7,1,0,1,0	0,1,0,2,0,0	3,1,2,8,2,6	317	96	1	1.0	0.0,0.0,0.0,NA,0.232,1.0	0.0,0.232,0.0,0.07,0.0,0.0	0.196
1086	"ENSMUSG00000021809"	"Nudt13"	chr14	+	20306231	20307799	20306231	20306366	20307692	20307799	1086	5,10,3,2,3,10	3,0,0,1,0,1	1,7,3,3,7,5	0,0,2,0,0,2	1422	96	0.93288221115	1.0	0.101,1.0,1.0,0.119,1.0,0.403	1.0,1.0,0.092,1.0,1.0,0.144	-0.102
1089	"ENSMUSG00000021819"	"Zswim8"	chr14	+	20713882	20714867	20713882	20714568	20714670	20714867	1089	11,17,2,8,6,7	0,2,1,0,0,0	6,5,10,12,14,13	0,1,0,0,0,1	198	96	1	1.0	1.0,0.805,0.492,1.0,1.0,1.0	1.0,0.708,1.0,1.0,1.0,0.863	-0.046
1090	"ENSMUSG00000021819"	"Zswim8"	chr14	+	20718759	20719225	20718759	20718918	20718996	20719225	1090	0,0,0,2,1,0	9,6,1,5,3,4	0,2,0,1,1,3	8,2,5,5,3,13	174	96	0.505442983087	1.0	0.0,0.0,0.0,0.181,0.155,0.0	0.0,0.356,0.0,0.099,0.155,0.113	-0.065
1091	"ENSMUSG00000021819"	"Zswim8"	chr14	+	20719379	20720036	20719379	20719672	20719812	20720036	1091	5,7,5,7,9,3	8,8,2,6,6,12	6,4,4,6,1,8	6,10,3,12,8,6	236	96	0.383329575792	1.0	0.203,0.263,0.504,0.322,0.379,0.092	0.289,0.14,0.352,0.169,0.048,0.352	0.069
1092	"ENSMUSG00000021819"	"Zswim8"	chr14	+	20721170	20722029	20721170	20721659	20721869	20722029	1092	2,0,1,2,0,2	10,19,4,13,6,3	1,2,1,1,1,6	8,5,6,9,12,16	306	96	0.0773800134233	0.960553820476	0.059,0.0,0.073,0.046,0.0,0.173	0.038,0.111,0.05,0.034,0.025,0.105	-0.002
1093	"ENSMUSG00000021819"	"Zswim8"	chr14	+	20722459	20723006	20722459	20722579	20722827	20723006	1093	3,3,5,6,3,2	8,13,3,6,2,5	2,2,1,8,2,3	1,0,5,4,2,18	344	96	0.594672587472	1.0	0.095,0.061,0.317,0.218,0.295,0.1	0.358,1.0,0.053,0.358,0.218,0.044	-0.158
1094	"ENSMUSG00000021819"	"Zswim8"	chr14	+	20722459	20723006	20722459	20722579	20722895	20723006	1094	8,13,6,13,10,9	0,0,0,0,0,0	6,6,5,12,6,14	0,0,0,0,0,1	412	96	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.765	0.039
1097	"ENSMUSG00000032624"	"Eml4"	chr17	+	83473045	83473748	83473045	83473133	83473649	83473748	1097	0,0,0,1,0,0	1,7,0,0,6,4	0,2,2,1,1,1	1,0,1,1,1,3	612	96	1	1.0	0.0,0.0,NA,1.0,0.0,0.0	0.0,1.0,0.239,0.136,0.136,0.05	-0.06
1098	"ENSMUSG00000048856"	"Slc25a47"	chr12	+	108855293	108856815	108855293	108855618	108855938	108856815	1098	0,1,0,0,0,0	1,1,0,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	416	96	1	1.0	0.0,0.188,NA,NA,NA,NA	NA,NA,0.0,NA,NA,NA	0.094
1099	"ENSMUSG00000089736"	"Tgfbr3l"	chr8	+	4250466	4250921	4250466	4250625	4250848	4250921	1099	3,3,3,0,2,2	0,1,0,2,0,0	1,4,1,1,6,9	0,0,0,0,1,1	319	96	0.828441370121	1.0	1.0,0.474,1.0,0.0,1.0,1.0	1.0,1.0,1.0,1.0,0.644,0.73	-0.15
1101	"ENSMUSG00000039356"	"Exosc2"	chr2	+	31675838	31676736	31675838	31675904	31676667	31676736	1101	3,3,0,1,3,2	0,3,1,2,2,1	1,1,1,3,1,1	2,0,2,0,1,4	859	96	0.361193918027	1.0	1.0,0.101,0.0,0.053,0.144,0.183	0.053,1.0,0.053,1.0,0.101,0.027	-0.126
1102	"ENSMUSG00000035325"	"Sec31a"	chr5	-	100363376	100363947	100363376	100363448	100363827	100363947	1102	7,6,2,1,1,3	15,40,17,27,18,24	7,5,5,9,1,9	12,27,32,39,32,43	475	96	0.149392801042	1.0	0.086,0.029,0.023,0.007,0.011,0.025	0.105,0.036,0.031,0.045,0.006,0.041	-0.014
1103	"ENSMUSG00000051557"	"Pusl1"	chr4	-	155891051	155891415	155891051	155891239	155891357	155891415	1103	0,1,1,0,0,1	0,0,0,0,0,0	0,2,0,0,2,1	0,0,0,1,1,0	214	96	1	1.0	NA,1.0,1.0,NA,NA,1.0	NA,1.0,NA,0.0,0.473,1.0	0.382
1104	"ENSMUSG00000026705"	"Klhl20"	chr1	-	161098262	161099285	161098262	161098396	161099141	161099285	1104	0,2,3,2,3,3	3,3,0,2,1,1	3,1,2,0,5,3	1,2,1,1,1,2	841	96	0.374455163511	1.0	0.0,0.071,1.0,0.102,0.255,0.255	0.255,0.054,0.186,0.0,0.363,0.146	0.113
1106	"ENSMUSG00000020477"	"Mrps24"	chr11	-	5707297	5707555	5707297	5707409	5707486	5707555	1106	0,2,0,1,0,2	11,9,2,3,1,5	1,1,1,2,2,3	9,12,10,13,14,22	173	96	0.0680943805267	0.897039237347	0.0,0.11,0.0,0.156,0.0,0.182	0.058,0.044,0.053,0.079,0.073,0.07	0.012
1108	"ENSMUSG00000024442"	"Dele1"	chr18	+	38252820	38254069	38252820	38252965	38253907	38254069	1108	0,1,0,3,2,1	3,4,9,6,2,13	2,1,1,2,1,2	6,9,8,18,9,15	1038	96	1	1.0	0.0,0.023,0.0,0.044,0.085,0.007	0.03,0.01,0.011,0.01,0.01,0.012	0.013
1109	"ENSMUSG00000002107"	"Celf2"	chr2	-	6539704	6547213	6539704	6545675	6547041	6547213	1109	8,4,2,1,3,0	1,0,0,0,2,2	1,5,2,2,1,6	0,0,0,3,1,3	1462	96	0.887752836965	1.0	0.344,1.0,1.0,1.0,0.09,0.0	1.0,1.0,1.0,0.042,0.062,0.116	0.036
1112	"ENSMUSG00000045838"	"Ccdc9b"	chr2	-	118760320	118760681	118760320	118760449	118760525	118760681	1112	0,0,0,0,0,0	1,0,0,0,2,1	0,1,1,0,0,0	0,1,0,0,0,0	172	96	1	1.0	0.0,NA,NA,NA,0.0,0.0	NA,0.358,1.0,NA,NA,NA	-0.679
1113	"ENSMUSG00000036501"	"Fam13b"	chr18	-	34443900	34445440	34443900	34444002	34445276	34445440	1113	0,5,0,1,1,1	8,7,5,5,2,4	2,2,4,2,0,1	1,3,4,6,2,0	1370	96	0.476221668947	1.0	0.0,0.048,0.0,0.014,0.034,0.017	0.123,0.045,0.065,0.023,0.0,1.0	-0.191
1114	"ENSMUSG00000020250"	"Txnrd1"	chr10	+	82879205	82879865	82879205	82879348	82879749	82879865	1114	0,3,0,1,1,1	17,32,7,17,12,26	1,0,0,1,2,2	18,43,16,37,18,34	497	96	1	1.0	0.0,0.018,0.0,0.011,0.016,0.007	0.011,0.0,0.0,0.005,0.021,0.011	0.001
1115	"ENSMUSG00000020250"	"Txnrd1"	chr10	+	82881722	82884006	82881722	82881948	82883913	82884006	1115	0,2,3,2,0,0	18,28,17,28,15,35	3,3,1,3,7,3	33,46,48,51,42,56	2061	96	1	1.0	0.0,0.003,0.008,0.003,0.0,0.0	0.004,0.003,0.001,0.003,0.008,0.002	-0.001
1116	"ENSMUSG00000049643"	"2310022A10Rik"	chr7	+	27580336	27582099	27580336	27580691	27581350	27582099	1116	13,13,7,9,6,7	0,0,0,0,0,1	6,7,11,8,1,11	0,0,0,0,2,0	755	96	1	1.0	1.0,1.0,1.0,1.0,1.0,0.471	1.0,1.0,1.0,1.0,0.06,1.0	0.069
1119	"ENSMUSG00000039263"	"Npepl1"	chr2	+	174120543	174121124	174120543	174120667	174120947	174121124	1119	8,12,10,9,4,9	16,8,7,7,9,11	10,2,2,11,9,20	8,18,10,19,15,17	376	96	0.183108004685	1.0	0.113,0.277,0.267,0.247,0.102,0.173	0.242,0.028,0.049,0.129,0.133,0.231	0.061
1121	"ENSMUSG00000027465"	"Tbc1d20"	chr2	+	152307988	152308431	152307988	152308175	152308329	152308431	1121	4,3,0,1,0,1	11,16,6,12,4,8	0,1,0,1,0,0	7,10,6,13,5,13	250	96	0.184055424363	1.0	0.123,0.067,0.0,0.031,0.0,0.046	0.0,0.037,0.0,0.029,0.0,0.0	0.034
1124	"ENSMUSG00000020377"	"Ltc4s"	chr11	-	50237193	50237440	50237193	50237264	50237340	50237440	1124	0,1,0,0,0,0	4,4,3,3,1,4	0,0,0,0,0,0	2,0,0,2,2,6	172	96	1	1.0	0.0,0.122,0.0,0.0,0.0,0.0	0.0,NA,NA,0.0,0.0,0.0	0.02
1125	"ENSMUSG00000028954"	"Nub1"	chr5	+	24694699	24695590	24694699	24694761	24695519	24695590	1125	4,2,1,4,3,1	2,8,4,13,3,10	0,4,1,1,2,2	3,5,5,5,2,8	854	96	0.933873319107	1.0	0.184,0.027,0.027,0.033,0.101,0.011	0.0,0.083,0.022,0.022,0.101,0.027	0.021
1126	"ENSMUSG00000066150"	"Slc31a1"	chr4	+	62387866	62391769	62387866	62388035	62388597	62391769	1126	2,3,1,0,1,1	29,51,19,23,38,41	0,2,2,1,0,2	37,62,65,81,54,93	658	96	1	1.0	0.01,0.009,0.008,0.0,0.004,0.004	0.0,0.005,0.004,0.002,0.0,0.003	0.004
1129	"ENSMUSG00000017119"	"Nbr1"	chr11	+	101574998	101575416	101574998	101575115	101575223	101575416	1129	44,43,30,41,43,41	3,0,0,2,3,5	24,46,30,58,45,57	0,1,0,1,1,0	204	96	0.000315549800165	0.0203687396007	0.873,1.0,1.0,0.906,0.871,0.794	1.0,0.956,1.0,0.965,0.955,1.0	-0.072
1130	"ENSMUSG00000022681"	"Ntan1"	chr16	+	13826882	13827125	13826882	13826985	13827059	13827125	1130	0,0,0,1,0,0	2,3,1,2,0,5	0,1,0,1,0,0	0,2,4,3,3,1	170	96	1	1.0	0.0,0.0,0.0,0.22,NA,0.0	NA,0.22,0.0,0.158,0.0,0.0	-0.032
1131	"ENSMUSG00000048865"	"Arhgap30"	chr1	+	171403212	171403955	171403212	171403340	171403780	171403955	1131	0,1,0,0,0,0	1,0,0,0,0,1	0,0,0,0,0,1	0,0,0,1,0,2	536	96	1	1.0	0.0,1.0,NA,NA,NA,0.0	NA,NA,NA,0.0,NA,0.082	0.292
1132	"ENSMUSG00000048865"	"Arhgap30"	chr1	+	171404033	171404298	171404033	171404137	171404220	171404298	1132	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0	1,1,0,0,0,0	179	96	1	1.0	0.349,NA,NA,NA,NA,NA	0.349,0.0,NA,NA,NA,NA	0.174
1134	"ENSMUSG00000033105"	"Lss"	chr10	+	76535558	76536365	76535558	76535667	76536243	76536365	1134	0,1,0,0,1,0	3,0,0,0,2,0	0,0,0,0,0,0	0,0,0,3,0,0	672	96	1	1.0	0.0,1.0,NA,NA,0.067,NA	NA,NA,NA,0.0,NA,NA	0.356
1135	"ENSMUSG00000033105"	"Lss"	chr10	+	76544464	76545501	76544464	76544536	76545450	76545501	1135	1,1,0,0,0,0	0,0,2,2,2,1	0,0,2,2,0,1	0,1,0,0,0,0	1010	96	1	1.0	1.0,1.0,0.0,0.0,0.0,0.0	NA,0.0,1.0,1.0,NA,1.0	-0.417
1137	"ENSMUSG00000036023"	"Parp2"	chr14	+	50814869	50815427	50814869	50814966	50815351	50815427	1137	5,5,3,2,2,4	1,2,0,3,1,0	0,1,1,2,1,4	2,1,2,0,3,0	481	96	0.0317986576605	0.586714064985	0.499,0.333,1.0,0.117,0.285,1.0	0.0,0.166,0.091,1.0,0.062,1.0	0.153
1138	"ENSMUSG00000036023"	"Parp2"	chr14	+	50814869	50816299	50814869	50815427	50816196	50816299	1138	2,3,3,3,1,5	2,3,3,1,2,1	5,2,1,1,2,2	1,1,1,0,0,4	865	96	0.436760430016	1.0	0.1,0.1,0.1,0.25,0.053,0.357	0.357,0.182,0.1,1.0,1.0,0.053	-0.289
1140	"ENSMUSG00000037400"	"Atp11b"	chr3	+	35837485	35839214	35837485	35837589	35839048	35839214	1140	3,5,9,10,7,6	0,3,2,3,5,5	5,10,3,5,4,7	1,1,0,3,3,5	1555	96	0.921226396594	1.0	1.0,0.093,0.217,0.171,0.08,0.069	0.236,0.382,1.0,0.093,0.076,0.08	-0.039
1142	"ENSMUSG00000063334"	"Krr1"	chr10	+	111977111	111977398	111977111	111977237	111977314	111977398	1142	0,1,0,0,1,0	3,1,3,1,3,2	0,1,0,0,0,0	3,1,3,4,2,0	173	96	1	1.0	0.0,0.357,0.0,0.0,0.156,0.0	0.0,0.357,0.0,0.0,0.0,NA	0.014
1143	"ENSMUSG00000021661"	"Ankra2"	chr13	+	98272771	98273918	98272771	98272852	98273377	98273918	1143	7,9,2,5,2,11	2,3,1,0,0,2	2,8,4,4,6,12	0,1,0,0,1,0	621	96	2.34545088871e-05	0.00288378771174	0.351,0.317,0.236,1.0,1.0,0.46	1.0,0.553,1.0,1.0,0.481,1.0	-0.278
1145	"ENSMUSG00000053453"	"Thoc7"	chr14	-	13953410	13954656	13953410	13953538	13954538	13954656	1145	10,8,2,5,2,4	32,39,19,24,12,28	9,14,10,10,17,20	34,65,34,47,34,51	1096	96	0.0290192694914	0.559162341991	0.027,0.018,0.009,0.018,0.014,0.012	0.023,0.019,0.025,0.018,0.042,0.033	-0.01
1146	"ENSMUSG00000053453"	"Thoc7"	chr14	-	13953410	13954656	13953410	13953538	13954565	13954656	1146	15,16,2,7,4,7	2,1,0,0,0,0	18,23,23,18,30,35	0,1,2,0,1,0	1123	96	1	1.0	0.391,0.578,1.0,1.0,1.0,1.0	1.0,0.663,0.496,1.0,0.719,1.0	0.015
